time(ms),count,cpm,uSv/h,uSv/hError
19732837,0,2.400,0.045,0.007
19801453,0,2.250,0.042,0.006
19810056,0,2.250,0.042,0.006
19820147,0,2.200,0.041,0.006
19826939,0,2.250,0.042,0.006
19866323,0,2.200,0.041,0.006
19908182,0,2.150,0.041,0.006
19928964,0,2.050,0.039,0.006
19950088,0,2.100,0.040,0.006
19977842,0,2.100,0.040,0.006
20021703,0,2.100,0.040,0.006
20023154,0,2.150,0.041,0.006
20042222,0,2.100,0.040,0.006
20111589,0,2.050,0.039,0.006
20132895,0,2.000,0.038,0.006
20142560,0,2.050,0.039,0.006
